TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
COGN3;3,97;;-1,28;0,52;0,24;63,05;-61,43;-110,19;-2,30;-4,18;-1,88;0,43;1,41;1,86;-0,35;1,76;-40,64;-18,86;-14,04;0,46;0,54;0,17;0,02;;166.982.316,65;7,61;-3,09;0,00;7.450.126.653,70
CORR3;2,71;;0,01;0,06;0,00;77,73;30,07;26,29;0,01;-2,46;-2,68;-14,13;0,00;0,00;-0,02;15,08;460,80;22,31;451,11;0,05;0,95;0,85;44,77;;;48,59;223,90;0,00;1.278.894,65
CORR4;82,00;;0,37;1,69;0,08;77,73;30,07;26,29;0,32;-2,46;-2,68;-14,13;0,10;0,11;-0,49;15,08;460,80;22,31;451,11;0,05;0,95;0,85;44,77;;;48,59;223,90;0,00;1.278.894,65
CPFE3;27,65;11,95;8,75;2,24;0,65;22,40;16,55;11,79;6,23;8,79;2,56;0,92;1,03;-53,62;-0,90;0,96;25,59;7,42;12,15;0,29;0,71;0,63;8,45;33,47;71.432.330,62;12,35;3,16;0,25;31.859.835.266,00
CPLE11;28,91;1,35;3,79;0,82;0,34;27,70;22,77;21,46;3,57;5,08;1,51;0,35;0,81;12,87;-0,44;1,12;21,72;8,85;10,77;0,41;0,59;0,41;4,51;25,31;34.344.158,91;35,15;7,63;0,06;15.822.753.782,50
CPLE3;5,43;15,35;3,56;0,77;0,31;27,70;22,77;21,46;3,35;5,08;1,51;0,35;0,76;12,09;-0,42;1,12;21,72;8,85;10,77;0,41;0,59;0,41;4,51;25,31;12.664.029,65;7,03;1,53;0,05;15.822.753.782,50
CPLE5;134,06;0,91;87,81;19,07;7,77;27,70;22,77;21,46;82,78;5,08;1,51;0,35;18,85;298,39;-10,26;1,12;21,72;8,85;10,77;0,41;0,59;0,41;4,51;25,31;;7,03;1,53;1,31;15.822.753.782,50
CPLE6;5,95;15,48;3,90;0,85;0,34;27,70;22,77;21,46;3,67;5,08;1,51;0,35;0,84;13,24;-0,46;1,12;21,72;8,85;10,77;0,41;0,59;0,41;4,51;25,31;82.108.768,96;7,03;1,53;0,06;15.822.753.782,50
CPRE3;18,23;;13,66;1,81;0,88;53,20;39,33;36,04;12,52;14,20;1,68;0,24;4,92;-5,47;-1,00;0,42;13,27;6,46;7,73;0,49;0,51;0,18;7,96;;5.456,00;10,05;1,33;0,02;10.824.655.047,92
CRDE3;25,00;;-3,92;0,56;0,50;-26,75;-721,03;-762,69;-4,15;-2,95;1,20;-0,16;29,89;3,50;-0,64;2,89;-14,41;-12,76;-15,48;0,89;0,11;0,02;-41,45;;16.706,42;44,27;-6,38;-0,06;60.553.825,00
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
CRFB3;21,38;1,16;15,89;2,49;0,82;19,55;6,33;3,75;9,42;9,45;0,02;0,01;0,60;61,25;-1,61;1,03;15,67;5,15;15,00;0,33;0,67;1,37;11,38;23,62;79.924.225,96;8,59;1,35;0,10;42.444.268.391,30
CRIV3;5,34;;10,10;0,55;0,06;68,16;12,20;8,81;7,30;7,83;;;0,89;0,67;-0,07;2,55;5,41;0,58;;0,11;0,89;0,07;-7,18;6,86;23.671,60;9,77;0,53;-0,41;589.940.970,21
CRIV4;6,25;6,95;11,82;0,64;0,07;68,16;12,20;8,81;8,54;7,83;;;1,04;0,78;-0,08;2,55;5,41;0,58;;0,11;0,89;0,07;-7,18;6,86;24.449,58;9,77;0,53;-0,48;589.940.970,21
